Date,Unit,Minimum,Maximum,Average,Market
6/16/2013,Kg,26,32,29,Tomato
6/17/2013,Kg,20,25,22.5,Tomato
6/18/2013,Kg,22,26,24,Tomato
6/19/2013,Kg,24,28,26,Tomato
6/20/2013,Kg,22,26,24,Tomato
6/21/2013,Kg,15,20,17.5,Tomato
6/25/2013,Kg,25,30,27.5,Tomato
6/26/2013,Kg,20,25,22.5,Tomato
6/27/2013,Kg,18,24,21,Tomato
6/28/2013,Kg,24,28,26,Tomato
6/30/2013,Kg,18,22,20,Tomato
7/1/2013,Kg,15,20,17.5,Tomato
7/2/2013,Kg,15,20,17.5,Tomato
7/3/2013,Kg,14,18,16,Tomato
7/4/2013,Kg,14,18,16,Tomato
7/5/2013,Kg,18,24,21,Tomato
7/9/2013,Kg,20,25,22.5,Tomato
7/10/2013,Kg,30,35,32.5,Tomato
7/11/2013,Kg,32,38,35,Tomato
7/12/2013,Kg,44,48,46,Tomato
7/14/2013,Kg,50,55,52.5,Tomato
7/15/2013,Kg,50,55,52.5,Tomato
7/16/2013,Kg,48,52,50,Tomato
7/17/2013,Kg,46,52,49,Tomato
7/18/2013,Kg,40,45,42.5,Tomato
7/19/2013,Kg,36,40,38,Tomato
7/21/2013,Kg,28,32,30,Tomato
7/22/2013,Kg,28,32,30,Tomato
7/23/2013,Kg,30,35,32.5,Tomato
7/24/2013,Kg,32,36,34,Tomato
7/25/2013,Kg,40,45,42.5,Tomato
7/26/2013,Kg,40,45,42.5,Tomato
7/28/2013,Kg,40,45,42.5,Tomato
7/29/2013,Kg,42,46,44,Tomato
7/30/2013,Kg,38,42,40,Tomato
7/31/2013,Kg,35,40,37.5,Tomato
8/1/2013,Kg,34,38,36,Tomato
8/2/2013,Kg,25,35,30,Tomato
8/4/2013,Kg,25,30,27.5,Tomato
8/5/2013,Kg,25,30,27.5,Tomato
8/6/2013,Kg,28,34,31,Tomato
8/7/2013,Kg,25,30,27.5,Tomato
8/8/2013,Kg,20,25,22.5,Tomato
8/12/2013,Kg,24,28,26,Tomato
8/13/2013,Kg,25,30,27.5,Tomato
8/14/2013,Kg,25,30,27.5,Tomato
8/15/2013,Kg,25,32,28.5,Tomato
8/16/2013,Kg,35,40,37.5,Tomato
8/18/2013,Kg,30,35,32.5,Tomato
8/19/2013,Kg,35,40,37.5,Tomato
8/20/2013,Kg,38,42,40,Tomato
8/23/2013,Kg,40,44,42,Tomato
8/25/2013,Kg,30,35,32.5,Tomato
8/26/2013,Kg,28,32,30,Tomato
8/27/2013,Kg,28,32,30,Tomato
8/29/2013,Kg,34,38,36,Tomato
8/30/2013,Kg,30,35,32.5,Tomato
9/1/2013,Kg,30,35,32.5,Tomato
9/2/2013,Kg,35,40,37.5,Tomato
9/3/2013,Kg,40,45,42.5,Tomato
9/4/2013,Kg,40,45,42.5,Tomato
9/5/2013,Kg,45,50,47.5,Tomato
9/6/2013,Kg,50,55,52.5,Tomato
9/8/2013,Kg,50,56,53,Tomato
9/9/2013,Kg,55,60,57.5,Tomato
9/10/2013,Kg,44,50,47,Tomato
9/11/2013,Kg,38,42,40,Tomato
9/12/2013,Kg,36,42,39,Tomato
9/13/2013,Kg,35,40,37.5,Tomato
9/15/2013,Kg,35,40,37.5,Tomato
9/16/2013,Kg,32,38,35,Tomato
9/17/2013,Kg,35,40,37.5,Tomato
9/19/2013,Kg,35,40,37.5,Tomato
9/20/2013,Kg,35,40,37.5,Tomato
9/22/2013,Kg,30,35,32.5,Tomato
9/23/2013,Kg,30,35,32.5,Tomato
9/24/2013,Kg,30,35,32.5,Tomato
9/25/2013,Kg,30,31,30.5,Tomato
9/26/2013,Kg,30,35,32.5,Tomato
9/27/2013,Kg,35,40,37.5,Tomato
9/29/2013,Kg,35,40,37.5,Tomato
9/30/2013,Kg,38,42,40,Tomato
10/1/2013,Kg,38,42,40,Tomato
10/2/2013,Kg,40,45,42.5,Tomato
10/3/2013,Kg,40,45,42.5,Tomato
10/4/2013,Kg,40,45,42.5,Tomato
10/6/2013,Kg,65,75,70,Tomato
10/7/2013,Kg,60,70,65,Tomato
10/8/2013,Kg,55,60,57.5,Tomato
10/9/2013,Kg,75,80,77.5,Tomato
10/10/2013,Kg,75,80,77.5,Tomato
10/11/2013,Kg,75,80,77.5,Tomato
10/12/2013,Kg,60,70,65,Tomato
